antname,x,y
LWA-215,-39.7,-25.14
LWA-216,-45.01,-36.25
LWA-217,-49.6,-38.98
LWA-218,-39,-42.03
LWA-219,-56.93,-43.2
LWA-221,-53.55,-69.16
LWA-222,-42.8,-70.55
LWA-223,-61.22,-77.84
LWA-224,-46.08,-85.91
LWA-225,-73.96,75.67
LWA-226,-79.43,58.67
LWA-227,-64.22,57.25
LWA-228,-78.23,44.63
LWA-229,-74.28,38.89
LWA-230,-84.83,36.59
LWA-231,-89.65,28.99
LWA-232,-86.78,19.92
LWA-233,-64.2,16.08
LWA-234,-82.56,7.78
LWA-235,-67.62,5.72
LWA-236,-76.74,1.64
LWA-237,-92.24,-2.24
LWA-238,-63.19,-4.3
LWA-239,-65.18,-9.71
LWA-240,-95.25,-15.38
LWA-241,-72,-17.09
LWA-242,-80.74,-19.31
LWA-243,-84.8,-22.16
LWA-244,-68.46,-28.41
LWA-245,-98.42,-30.81
LWA-246,-87.92,-32.07
LWA-247,-81.42,-42.61
LWA-248,-75.18,-42.85
LWA-249,-81.51,-52.66
LWA-250,-68.93,-54.4
LWA-251,-71.34,-66.51
LWA-252,87.27,250.31
LWA-253,-76.46,253.83
LWA-254,-211.08,160.4
LWA-255,-265.03,5.75
LWA-256,-217.77,-151.12
LWA-257,-690.78,-258.02
LWA-258,-1045.29,339.39
LWA-259,-229.25,923.62
LWA-260,-588.42,272.5
LWA-261,126.34,954.91
LWA-262,151.29,-80.21
LWA-263,-283.78,-399.57
LWA-264,-789.98,849.1
LWA-265,-321.89,-52.28
LWA-266,-263.75,297.32
LWA-267,-9.31,440.56
LWA-268,-296.84,370.92
LWA-269,137.6,557.63
LWA-270,-675.71,-64.07
LWA-271,-335.02,801.02
LWA-272,-847.73,413.27
LWA-273,-661.73,576.17
LWA-274,147.31,99.99
LWA-275,314.92,644.91
LWA-276,-539.6,571.62
LWA-277,123.74,646.65
LWA-278,-173.12,685.38
LWA-279,353.41,542.79
LWA-280,-779.02,28.28
LWA-281,-266.74,260.02
LWA-282,-158.2,496.07
LWA-283,-789.61,-202.85
LWA-284,-425.26,121.66
LWA-285,-403.26,532.93
LWA-286,-1111.55,52.84
LWA-287,-999.52,554.51
LWA-288,-768.1,379.47
LWA-289,-599.23,-640.89
LWA-290,-695.78,-439.7
LWA-291,-1022.79,245.27
LWA-292,-914.12,107.62
LWA-293,-57.2,149.91
LWA-294,38.66,152.45
LWA-295,-549.32,130.29
LWA-296,-713.87,233.33
LWA-297,69.13,1088.96
LWA-298,346.4,1088.42
LWA-299,346.79,-357.88
LWA-300,395.79,-213.64
LWA-301,-509.59,-405.09
LWA-302,-350.43,-648.62
LWA-303,-406.19,-271.72
LWA-304,-140.62,-70.82
LWA-305,-418.64,18.15
LWA-306,-538.16,-161.08
LWA-307,-248.9,508.73
LWA-308,-247.26,617.26
LWA-309,-15.47,685.95
LWA-310,-58.86,601.79
LWA-311,-439.79,339.77
LWA-312,-516.22,461.32
LWA-313,254.57,402.81
LWA-314,116.95,386.31
LWA-315,-961.7,-254.5
LWA-316,-1000.98,-143.6
LWA-317,-395.22,-167.66
LWA-318,-272.06,-244.48
LWA-319,-1194.28,450.93
LWA-320,-947.28,447.73
LWA-321,-524.4,720.65
LWA-322,-693.31,995.77
LWA-323,208.57,203.61
LWA-324,271.45,18.88
LWA-325,415.29,924.9
LWA-326,294.29,730.96
LWA-327,-428.18,864.5
LWA-328,-452.48,1049.41
LWA-329,251.37,870.82
LWA-330,134.88,782.65
LWA-331,3.68,910.4
LWA-332,-74.39,791.66
LWA-333,392.58,154.46
LWA-334,358.37,399.86
LWA-335,-916.01,-91.05
LWA-336,-737.55,163.28
LWA-337,-355.54,114.23
LWA-338,-84.27,371.57
LWA-339,-201.66,782.24
LWA-340,-364.76,641.34
LWA-341,-1102.21,-744.23
LWA-342,-854.23,-330.69
LWA-343,-437.57,239.75
LWA-344,-571.63,13.17
LWA-345,-37.5,-163.56
LWA-346,-139.39,90.18
LWA-347,-1145.29,-356.09
LWA-348,-1222.01,-95.25
LWA-349,-821.13,586.41
LWA-350,-680.9,758.89
LWA-351,-843.95,278.08
LWA-352,-601.93,402.3
LWA-353,-1168.85,1074.22
LWA-354,-899.09,1031.87
LWA-355,-51.56,-413.48
LWA-356,91.8,-411.9
LWA-357,223.45,-257.64
LWA-358,107.93,-269.84
LWA-359,-26,-297.97
LWA-360,308.91,-772.69
LWA-361,63.33,-151.4
LWA-362,382.82,-599.33
LWA-363,201.17,-500.82
LWA-364,10.29,-569.81
LWA-365,-93.78,-922.93
LWA-366,-1235.02,-852.93
,,
,,
