antname,elevation,x,y
LWA-162,1183.55,-21.97,82.35
LWA-163,1183.54,-36.36,74.85
LWA-164,1183.13,-19.85,65.44
LWA-165,1183.14,-34.66,52.82
LWA-166,1182.79,-20.18,43.55
LWA-167,1183.11,-28.98,35.04
LWA-168,1183.31,-34.35,31.32
LWA-169,1183.06,-29.32,26.83
LWA-170,1183.19,-36.99,19.6
LWA-171,1182.75,-24.87,16.27
LWA-172,1182.72,-23.68,7.68
LWA-173,1183.16,-36.46,6.08
LWA-174,1182.64,-19.43,4.13
LWA-175,1182.95,-30.81,3.31
LWA-176,1182.87,-27.71,-4.86
LWA-177,1183.03,-31.24,-9.34
LWA-178,1182.83,-19.34,-14.77
LWA-179,1183.01,-28.87,-16.27
LWA-180,1182.95,-34.99,-23.68
LWA-181,1182.92,-21.86,-26.01
LWA-182,1182.93,-26.47,-41.12
LWA-183,1182.92,-31.79,-41.4
LWA-184,1182.87,-18.94,-42.64
LWA-185,1182.96,-20.16,-49.13
LWA-186,1182.87,-35.13,-50.98
LWA-187,1182.82,-28.42,-60.98
LWA-188,1182.7,-19.71,-71.55
LWA-189,1182.71,-30.04,-78.64
LWA-190,1182.66,-20.25,-79.04
LWA-191,1182.71,-28.12,-86.01
LWA-192,1182.8,-27.2,-91.91
LWA-193,1182.95,-53.33,89.57
LWA-194,1183.06,-44.38,84.85
LWA-195,1183.15,-59.86,81.31
LWA-196,1183.38,-43.34,63.95
LWA-197,1183.5,-55.09,61.33
LWA-198,1183.34,-38.37,59.9
LWA-199,1183.51,-61.22,53.08
LWA-200,1183.35,-50.08,50.8
LWA-201,1183.2,-40.72,47.61
LWA-202,1183.24,-41.43,39.64
LWA-203,1183.44,-63.11,34.12
LWA-204,1183.36,-47.98,27.82
LWA-205,1183.43,-59.14,20.11
LWA-206,1183.27,-47.91,15.89
LWA-207,1183.16,-39.44,12.01
LWA-208,1183.39,-49.18,7.98
LWA-209,1183.36,-49.33,2.87
LWA-210,1183.3,-45.88,-2.32
LWA-211,1183.09,-47.41,-12.39
LWA-212,1183.1,-41.39,-18.41
LWA-213,1182.98,-58.51,-19.55
LWA-214,1182.99,-51.69,-24.44
LWA-215,1183.07,-39.7,-25.14
LWA-216,1182.87,-45.01,-36.25
LWA-217,1182.81,-49.6,-38.98
LWA-218,1182.92,-39,-42.03
LWA-219,1182.86,-56.93,-43.2
LWA-221,1182.7,-53.55,-69.16
LWA-222,1182.6,-42.8,-70.55
LWA-223,1182.8,-61.22,-77.84
LWA-224,1182.85,-46.08,-85.91
LWA-225,1183.51,-73.96,75.67
LWA-226,1183.78,-79.43,58.67
LWA-227,1183.61,-64.22,57.25
LWA-228,1183.68,-78.23,44.63
LWA-229,1183.56,-74.28,38.89
LWA-230,1183.59,-84.83,36.59
LWA-231,1183.49,-89.65,28.99
